{ Acc x: -0.31 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.00 , Tiempo seg:  , 19 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.29 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.00 , Tiempo seg:  , 19 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: 0.00 , Tiempo seg:  , 19 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.32 , Acc y: -0.43 , Acc z: 9.53 , Apogeo: 9.55 , Apogeo2: 0.05 , Tiempo seg:  , 19 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.32 , Acc y: -0.45 , Acc z: 9.53 , Apogeo: 9.55 , Apogeo2: 0.05 , Tiempo seg:  , 19 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.30 , Acc y: -0.48 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.05 , Tiempo seg:  , 19 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.31 , Acc y: -0.43 , Acc z: 9.50 , Apogeo: 9.51 , Apogeo2: -0.01 , Tiempo seg:  , 19 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.29 , Acc y: -0.45 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: -0.01 , Tiempo seg:  , 19 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.29 , Acc y: -0.46 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.01 , Tiempo seg:  , 20 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.29 , Acc y: -0.45 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: 0.08 , Tiempo seg:  , 20 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.29 , Acc y: -0.47 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.08 , Tiempo seg:  , 20 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.30 , Acc y: -0.46 , Acc z: 9.49 , Apogeo: 9.51 , Apogeo2: 0.08 , Tiempo seg:  , 20 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.29 , Acc y: -0.48 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: -0.14 , Tiempo seg:  , 20 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.28 , Acc y: -0.45 , Acc z: 9.52 , Apogeo: 9.53 , Apogeo2: -0.14 , Tiempo seg:  , 20 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.31 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.14 , Tiempo seg:  , 20 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.09 , Tiempo seg:  , 20 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
